normalized_title,movie_title,movie_year,is_atmos
the-predator-2018,The Predator,2018,true
the-revenant,The Revenant,2015,false
the-rip-2025,The Rip,2025,true
the-suicide-squad-2021,The Suicide Squad,2021,true
the-super-mario-bros-movie,The Super Mario Bros. Movie,2023,true
the-tomorrow-war,The Tomorrow War,2021,true
thor-love-and-thunder,Thor: Love and Thunder,2022,true
thor-ragnarok,Thor: Ragnarok,2017,true
thunderbolts,Thunderbolts,2025,true
top-gun-maverick,Top Gun: Maverick,2022,true
toy-story-2,Toy Story 2,1999,true
training-day,Training Day,2001,true
transformers-2007,Transformers,2007,true
transformers-the-last-knight,Transformers: The Last Knight,2017,true
tron-ares,Tron: Ares,2025,true
tron-legacy,Tron: Legacy,2010,true
twisters-2024,Twisters,2024,true
unbroken,Unbroken,2014,true
uncharted-2022,Uncharted,2022,true
uncut-gems,Uncut Gems,2019,true
us-2019,Us,2019,true
van-helsing,Van Helsing,2004,false
war-for-the-planet-of-the-apes,War for the Planet of the Apes,2017,true
war-machine-2017,War Machine,2017,true
war-of-the-worlds-2005,War of the Worlds,2005,true
warfare,Warfare,2025,true
wicked,Wicked,2024,true
wolf-man-2025,Wolf Man,2025,true
wonka-2023,Wonka,2023,true
zero-dark-thirty,Zero Dark Thirty,2012,true
